start	end	text
472600	483760	There are also 210 gates of Masjid al-Haram, allowing the entrance of pilgrims from all sides.
483760	487560	Imagine that, 210 ways in.
487560	493520	And aside from being an important spiritual journey for Muslims, the Hajj is something
493520	497200	that is a remarkable feat of organisation.
497200	504680	A feat, F-E-A-T in English, means an achievement, something that's difficult to do.
504680	510480	So two million people converge on Makkah for the five days of the Hajj.
510480	516840	And this means quite some level of organisation so that the pilgrimage can be achieved in
516840	523880	an atmosphere of calm, safety, and spiritual unity, U-N-I-T-Y.
523880	529880	This means meticulous planning with regard to transportation, moving people around, safe
529880	537560	management of crowds, services of all kinds, and help and assistance in different languages.
537560	543960	This means thousands of dedicated volunteers, healthcare professionals and security staff
543960	546640	working hard over the five days.
546640	554440	The Saudi Arabian Ministry for Health set up more than 250 mobile clinics and medical
554440	557320	units to ensure people's safety.
557320	565040	And a remarkable 37,000 medical procedures were carried out during the five days of the
565040	569480	Hajj without any major health incidents.
569480	572240	So what they set up really worked.
572240	576760	This is really an achievement with such a vast gathering of people.
576760	581320	And this operation was not just at the Masjid al-Haram.
581320	587300	Pilgrims make their way to other holy sites during their visit, such as Mount Arafat.
587300	594660	This is the place where the Prophet Muhammad delivered his final sermon, S-E-R-M-O-N, or
594660	596040	holy teaching.
596040	602320	So the day of Arafat, the most sacred in the Islamic calendar, was observed in the desert
602320	605620	in temperatures of 41 degrees centigrade.
605620	607180	That's hot.
607180	613420	Here pilgrims dressed in simple white gowns gathered to stand in prayer and reflection
613580	620380	And again, to facilitate this spiritual coming together, the Saudi Arabian authorities attended
620380	628340	to the practicalities, shade zones, lots of water available, free umbrellas, and lots
628340	634740	of health care professionals on hand, especially to help anyone overcome with the heat.
634740	641460	Spiritual guidance was also on offer from booths, staffed by people able to speak many,
641460	642720	many languages.
642720	648920	And as the day of Arafat ended, pilgrims made their way to the next stage of the journey,
648920	654660	to Muzdalifah, to collect pebbles for the symbolic stoning of the devil.
654660	662480	For many Muslims, this pilgrimage will stay long in their minds and reinforce their faith.
662480	668960	So the Hajj is remarkable, the biggest event in the Muslim world in terms of the concentration
669920	675160	And Muslims are, of course, spread out all across the world, from China to different
675160	681200	parts of Asia, the entire West, including the Americas and Europe, of course, as well
681200	683640	as Africa and the Middle East.
683640	690040	And this pilgrimage culminates in more than a million people meeting in a very compact
690040	693800	space, people coming from all different parts of the world.
693800	699900	The complexity isn't just in the number of people, but also in the many different nationalities.
699900	705640	People who come from different political systems, as well as the different languages, and making
705640	712960	sure they're all able to move in one direction, following the systematic rituals of the Hajj,
712960	718760	as it's been done since ancient times, and focus on spiritual matters.
718760	721480	It's a remarkable feat of organisation.
722040	728520	Anyway, if you are a Muslim, let me know how this podcast was, and importantly, if I've
728520	731400	got anything wrong or misrepresented anything.
731400	737400	And if, like me, you are non-Muslim, I hope this podcast has helped you learn some interesting
737400	743680	facts about Islam, as well as giving you some important English vocabulary to work on.
743680	747320	Let us know, we love to hear from you, as ever.
747320	751200	Enough for now, have a lovely day, speak to you again soon.
751200	751880	Goodbye.
